Ticker: NVDA  Created on: 11/30/2016 8:26:04 PM,,,,,,,,,,,Ticker: AMD  Created on: 11/30/2016 8:26:02 PM,,,,,,,,,,
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding,Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20161104,67.510002,68.730003,66.580002,67.57,8219500,67.468986,0,1,67.489494,-999,20161104,6.69,6.72,6.46,6.56,32159000,6.56,0,1,6.625,-999
20161103,69.080002,69.139999,66.639999,67.959999,7741600,67.858403,0,1,68.4692025,-999,20161103,6.78,6.79,6.56,6.7,33633200,6.7,0,1,6.74,-999
20161102,69.580002,70.519997,68.639999,68.760002,7396200,68.65721,0,1,69.118606,-999,20161102,7.03,7.06,6.67,6.76,33745800,6.76,0,1,6.895,-999
20161101,71.419998,71.809998,68.290001,69.050003,11830600,68.946777,0,1,70.1833875,-999,20161101,7.32,7.43,6.92,7.09,39859700,7.09,0,1,7.205,-999
20161031,70.790001,71.629997,70.75,71.160004,6309700,71.053623,0,1,70.921812,-999,20161031,7.24,7.46,7.2,7.23,42275900,7.23,0,1,7.235,-999
20161028,71.019997,72.099998,70.43,70.559998,7271400,70.454514,0,1,70.7372555,-999,20161028,7.1,7.53,7.02,7.2,77192900,7.2,0,1,7.15,-999
20161027,72.709999,72.849998,70.389999,70.68,9716600,70.574338,0,1,71.6421685,-999,20161027,7.44,7.46,7.1,7.11,37644400,7.11,0,1,7.275,-999
20161026,71.269997,72.949997,71.199997,72.160004,8344800,72.052128,0,1,71.6610625,-999,20161026,7.4,7.48,7.26,7.29,47573700,7.29,0,1,7.345,-999
20161025,70.589996,72.300003,70.25,71.870003,9936500,71.762561,0,1,71.1762785,-999,20161025,6.9,7.5,6.87,7.5,78862000,7.5,0,1,7.2,-999
20161024,68,70.790001,67.989998,70.709999,8495900,70.604292,0,1,69.302146,-999,20161024,6.57,7.01,6.54,7.01,52998400,7.01,0,1,6.79,-999
20161021,67.489998,67.660004,66.900002,67.540001,6987700,67.439032,0,1,67.464515,-999,20161021,6.5,6.65,6.37,6.52,64243500,6.52,0,1,6.51,-999
20161020,67.25,67.949997,66.300003,67.730003,7802100,67.628751,0,1,67.4393755,-999,20161020,6.81,6.98,6.77,6.96,64607500,6.96,0,1,6.885,-999
20161019,66.160004,66.779999,65.82,66.470001,4976500,66.370632,0,1,66.265318,-999,20161019,6.7,6.8,6.57,6.77,29420200,6.77,0,1,6.735,-999
20161018,66.519997,66.989998,66.25,66.610001,6734300,66.510422,0,1,66.5152095,-999,20161018,6.76,6.89,6.69,6.73,25314800,6.73,0,1,6.745,-999
20161017,65.980003,66.599998,65.519997,65.610001,4883200,65.511917,0,1,65.74596,-999,20161017,6.92,6.97,6.64,6.67,24261500,6.67,0,1,6.795,-999
20161014,66.150002,66.599998,65.599998,65.989998,8265900,65.891347,0,1,66.0206745,-999,20161014,6.92,7.12,6.74,6.75,66934400,6.75,0,1,6.835,-999
20161013,65.650002,65.800003,63.700001,65.349998,9752900,65.252304,0,1,65.451153,-999,20161013,6.5,6.54,6.24,6.49,30401700,6.49,0,1,6.495,-999
20161012,65.860001,66.779999,65.309998,66.43,10498000,66.330691,0,1,66.095346,-999,20161012,6.64,6.77,6.42,6.62,33592700,6.62,0,1,6.63,-999
20161011,66.879997,66.980003,65.620003,66.129997,9713500,66.031137,0,1,66.455567,-999,20161011,6.8,6.84,6.38,6.5,32510800,6.5,0,1,6.65,-999
20161010,67.199997,67.559998,66.470001,67.099998,7196900,66.999688,0,1,67.0998425,-999,20161010,6.82,6.94,6.8,6.84,13800500,6.84,0,1,6.83,-999
20161007,67.790001,67.970001,66.660004,66.849998,7156500,66.750061,0,1,67.270031,-999,20161007,6.92,6.96,6.62,6.75,33059000,6.75,0,1,6.835,-999
20161006,67.410004,67.830002,66.260002,67.339996,9005300,67.239327,0,1,67.3246655,-999,20161006,6.72,6.98,6.63,6.96,27059700,6.96,0,1,6.84,-999
20161005,68.879997,69.580002,68.019997,68.230003,7636000,68.128003,0,1,68.504,-999,20161005,6.97,7.01,6.7,6.78,31235600,6.78,0,1,6.875,-999
20161004,68.550003,69.699997,67.790001,68.300003,7040600,68.197898,0,1,68.3739505,-999,20161004,7,7.09,6.89,6.97,25770000,6.97,0,1,6.985,-999
20161003,68.519997,69.510002,68.330002,68.449997,6064900,68.347668,0,1,68.4338325,-999,20161003,6.95,7.15,6.87,6.95,30456700,6.95,0,1,6.95,-999
20160930,67.769997,69.190002,67.370003,68.519997,10748300,68.417563,0,1,68.09378,-999,20160930,6.7,7.04,6.7,6.91,47453100,6.91,0,1,6.805,-999
20160929,66.669998,67.610001,66.050003,67.400002,8417100,67.299242,0,1,66.98462,-999,20160929,6.57,6.73,6.54,6.67,30746100,6.67,0,1,6.62,-999
20160928,66.639999,66.830002,65.93,66.779999,7994700,66.680166,0,1,66.6600825,-999,20160928,6.57,6.65,6.48,6.59,27878300,6.59,0,1,6.58,-999
20160927,64.089996,66.639999,64.059998,66.540001,10068800,66.440527,0,1,65.2652615,-999,20160927,6.45,6.58,6.29,6.54,30035900,6.54,0,1,6.495,-999
20160926,64.209999,64.599998,63.529999,64.339996,5751000,64.243812,0,1,64.2269055,-999,20160926,6.54,6.54,6.31,6.32,29875800,6.32,0,1,6.43,-999
20160923,65.099998,65.290001,64.660004,64.949997,6903300,64.8529,0,1,64.976449,-999,20160923,6.31,6.65,6.31,6.55,61022400,6.55,0,1,6.43,-999
20160922,65.239998,65.440002,64.650002,65.019997,7718300,64.922795,0,1,65.0813965,-999,20160922,6.35,6.44,6.33,6.37,35848200,6.37,0,1,6.36,-999
20160921,63.279999,64.980003,63.27,64.860001,8405300,64.763039,0,1,64.021519,-999,20160921,6.2,6.32,6.14,6.29,33450000,6.29,0,1,6.245,-999
20160920,64.400002,64.400002,62.740002,63.09,8277800,62.995684,0,1,63.697843,-999,20160920,6.23,6.28,6.12,6.17,28990900,6.17,0,1,6.2,-999
20160919,63.5,65.260002,63.209999,63.669998,10428200,63.574815,0,1,63.5374075,-999,20160919,6.12,6.28,6.08,6.16,37837200,6.16,0,1,6.14,-999
20160916,62.91,63.25,62.119999,62.84,22561100,62.746058,0,1,62.828029,-999,20160916,6.22,6.22,5.97,6.05,47829400,6.05,0,1,6.135,-999
20160915,60.5,62.759998,60.360001,62.689999,12880300,62.596281,0,1,61.5481405,-999,20160915,6.09,6.2,5.95,6.02,52669500,6.02,0,1,6.055,-999
20160914,60.009998,60.599998,59.509998,60.400002,7976200,60.309707,0,1,60.1598525,-999,20160914,5.75,6.08,5.75,6.04,64251100,6.04,0,1,5.895,-999
20160913,60.599998,61.299999,59.529999,59.869999,11794200,59.780497,0,1,60.1902475,-999,20160913,5.92,5.95,5.66,5.74,50819500,5.74,0,1,5.83,-999
20160912,58.73,60.869999,57.32,60.75,14956500,60.659182,0,1,59.694591,-999,20160912,5.83,6.07,5.77,5.94,78014400,5.94,0,1,5.885,-999
20160909,61.950001,62.299999,59,59.52,17444000,59.431021,0,1,60.690511,-999,20160909,6.23,6.24,5.85,5.9,170828000,5.9,0,1,6.065,-999
20160908,62.130001,62.740002,61.419998,62.639999,7895200,62.546356,0,1,62.3381785,-999,20160908,6.64,6.65,6.15,6.23,90814700,6.23,0,1,6.435,-999
20160907,62.919998,63.23,61.830002,62.189999,9949700,62.097028,0,1,62.508513,-999,20160907,7.05,7.07,6.78,6.84,57721900,6.84,0,1,6.945,-999
20160906,62.75,63.119999,62.43,63.119999,7670300,63.025638,0,1,62.887819,-999,20160906,7.56,7.6,7.25,7.34,24994600,7.34,0,1,7.45,-999
20160902,63.279999,63.349998,61.82,62.529999,8078700,62.43652,0,1,62.8582595,-999,20160902,7.49,7.64,7.38,7.51,18538400,7.51,0,1,7.5,-999
20160901,61.389999,63.380001,61.34,63.150002,10712300,63.055596,0,1,62.2227975,-999,20160901,7.18,7.44,7.09,7.35,22284600,7.35,0,1,7.265,-999
20160831,61.75,61.919998,61.16,61.34,9713600,61.2483,0,1,61.49915,-999,20160831,7.52,7.52,7.28,7.4,18808800,7.4,0,1,7.46,-999
20160830,61.91,62.240002,61.459999,61.630001,7138600,61.537868,0,1,61.723934,-999,20160830,7.61,7.64,7.41,7.49,16088100,7.49,0,1,7.55,-999
20160829,62.279999,62.529999,61.889999,61.990002,6866300,61.89733,0,1,62.0886645,-999,20160829,7.72,7.79,7.57,7.59,16916300,7.59,0,1,7.655,-999
20160826,61.689999,62.380001,61.200001,62.029999,7500600,61.937267,0,1,61.813633,-999,20160826,7.49,7.8,7.46,7.67,31387900,7.67,0,1,7.58,-999
20160825,61.959999,61.990002,60.759998,61.529999,10150800,61.438015,0,1,61.699007,-999,20160825,7.49,7.49,7.2,7.47,16451300,7.47,0,1,7.48,-999
20160824,63.130001,63.16,61.650002,61.939999,7461200,61.847402,0,1,62.4887015,-999,20160824,7.67,7.67,7.37,7.43,22943900,7.43,0,1,7.55,-999
20160823,63.040001,63.32,62.73,62.91,8494100,62.815953,0,1,62.927977,-999,20160823,7.66,7.74,7.53,7.67,27531100,7.67,0,1,7.665,-999
20160822,62.450001,62.610001,61.709999,62.52,6118700,62.311709,0,1,62.380855,-999,20160822,7.83,7.95,7.37,7.58,41519200,7.58,0,1,7.705,-999
20160819,62.07,62.73,61.799999,62.259998,7289000,62.052573,0,1,62.0612865,-999,20160819,7.24,8,7.22,7.62,75129300,7.62,0,1,7.43,-999
20160818,61.060001,62.200001,60.82,62.099998,8292100,61.893106,0,1,61.4765535,-999,20160818,6.74,7.07,6.73,7.04,30783300,7.04,0,1,6.89,-999
20160817,62.599998,62.740002,60.66,61.150002,14880300,60.946274,0,1,61.773136,-999,20160817,6.7,6.75,6.61,6.68,13791300,6.68,0,1,6.69,-999
20160816,62.889999,62.990002,62.41,62.599998,7191300,62.39144,0,1,62.6407195,-999,20160816,6.94,6.94,6.65,6.78,26768800,6.78,0,1,6.86,-999
20160815,63.110001,63.5,62.130001,62.98,14332600,62.770175,0,1,62.940088,-999,20160815,6.79,6.97,6.78,6.95,28339400,6.95,0,1,6.87,-999
20160812,61.900002,63.380001,60.630001,63.040001,35643600,62.829977,0,1,62.3649895,-999,20160812,6.6,6.79,6.55,6.73,25466400,6.73,0,1,6.665,-999
20160811,58.82,59.950001,58.700001,59.700001,17026600,59.501104,0,1,59.160552,-999,20160811,6.5,6.59,6.46,6.58,13240300,6.58,0,1,6.54,-999
20160810,59.41,59.5,58.32,58.509998,9393500,58.315066,0,1,58.862533,-999,20160810,6.35,6.58,6.25,6.49,29070700,6.49,0,1,6.42,-999
20160809,59.029999,59.459999,58.740002,58.889999,9308600,58.693801,0,1,58.8619,-999,20160809,6.75,6.78,6.54,6.6,16772400,6.6,0,1,6.675,-999
20160808,59,59.139999,58.119999,58.740002,7626600,58.544303,0,1,58.7721515,-999,20160808,6.7,6.85,6.65,6.68,21462200,6.68,0,1,6.69,-999
20160805,57.889999,58.23,57.610001,58.200001,9289700,58.006102,0,1,57.9480505,-999,20160805,6.56,6.76,6.47,6.61,20164000,6.61,0,1,6.585,-999
20160804,56.459999,57.490002,56.349998,57.23,6817800,57.039332,0,1,56.7496655,-999,20160804,6.39,6.61,6.37,6.47,22411000,6.47,0,1,6.43,-999
20160803,55.970001,56.299999,55.66,56.189999,7495700,56.002796,0,1,55.9863985,-999,20160803,6.18,6.45,6.15,6.3,23807800,6.3,0,1,6.24,-999
20160802,57,57.029999,55.5,56.040001,7068700,55.853298,0,1,56.426649,-999,20160802,6.56,6.6,6.15,6.26,40816400,6.26,0,1,6.41,-999
20160801,57.34,57.549999,56.360001,56.73,7528000,56.540998,0,1,56.940499,-999,20160801,6.89,6.92,6.57,6.64,26729000,6.64,0,1,6.765,-999
20160729,56.389999,57.25,55.380001,57.099998,10239700,56.909764,0,1,56.6498815,-999,20160729,6.88,6.96,6.75,6.86,22580500,6.86,0,1,6.87,-999
20160728,56.189999,56.599998,56.009998,56.18,5547900,55.992831,0,1,56.091415,-999,20160728,6.79,6.98,6.74,6.82,27515600,6.82,0,1,6.805,-999
20160727,57.119999,57.220001,55.720001,56.060001,11166900,55.873232,0,1,56.4966155,-999,20160727,6.93,6.98,6.68,6.85,38567300,6.85,0,1,6.89,-999
20160726,56.169998,56.919998,56.09,56.630001,12862700,56.441332,0,1,56.305665,-999,20160726,6.76,7.16,6.71,6.98,81230600,6.98,0,1,6.87,-999
20160725,55,55.810001,54.759998,55.68,7813200,55.494497,0,1,55.2472485,-999,20160725,5.93,6.95,5.92,6.7,118328600,6.7,0,1,6.315,-999
20160722,53.41,54.669998,53.02,54.669998,7894200,54.48786,0,1,53.94893,-999,20160722,5.73,5.97,5.45,5.84,101838300,5.84,0,1,5.785,-999
20160721,54.099998,54.27,53.040001,53.220001,9032700,53.042693,0,1,53.5713455,-999,20160721,5.43,5.45,5.1,5.22,40242000,5.22,0,1,5.325,-999
20160720,53.700001,54.509998,53.48,54.220001,7411500,54.039362,0,1,53.8696815,-999,20160720,5.48,5.5,5.4,5.41,20102400,5.41,0,1,5.445,-999
20160719,52.939999,53.73,52.84,53.52,9566300,53.341693,0,1,53.140846,-999,20160719,5.5,5.55,5.34,5.41,23439600,5.41,0,1,5.455,-999
20160718,53.349998,53.43,52.77,52.970001,6324800,52.793526,0,1,53.071762,-999,20160718,5.19,5.57,5.13,5.51,38619400,5.51,0,1,5.35,-999
20160715,52.639999,52.939999,51.84,52.700001,10715400,52.524425,0,1,52.582212,-999,20160715,5.2,5.2,5.1,5.14,14219300,5.14,0,1,5.17,-999
20160714,53.060001,53.799999,52.619999,53.32,7922300,53.142359,0,1,53.10118,-999,20160714,5.15,5.24,5.06,5.17,20050100,5.17,0,1,5.16,-999
20160713,52.900002,53.200001,52.700001,52.779999,8115100,52.604157,0,1,52.7520795,-999,20160713,5.14,5.19,5.04,5.09,14032500,5.09,0,1,5.115,-999
20160712,52.599998,53.279999,51.939999,52.799999,10919000,52.624091,0,1,52.6120445,-999,20160712,5.01,5.17,5.01,5.14,20832500,5.14,0,1,5.075,-999
20160711,51.580002,52.400002,51.52,52.02,11219400,51.846691,0,1,51.7133465,-999,20160711,5.13,5.19,5,5.01,21027900,5.01,0,1,5.07,-999
20160708,49.41,51.09,49.220001,50.849998,12048300,50.680587,0,1,50.0452935,-999,20160708,4.84,5.15,4.82,5.1,28140700,5.1,0,1,4.97,-999
20160707,47.970001,49.060001,47.75,48.889999,9885000,48.727117,0,1,48.348559,-999,20160707,5.07,5.1,4.94,5.02,15813800,5.02,0,1,5.045,-999
20160706,47.02,47.93,46.779999,47.650002,6827600,47.491251,0,1,47.2556255,-999,20160706,4.91,5.11,4.9,5.04,19392900,5.04,0,1,4.975,-999
20160705,46.400002,47.43,46.029999,47.349998,9277100,47.192247,0,1,46.7961245,-999,20160705,5.03,5.05,4.88,4.96,16332500,4.96,0,1,4.995,-999
20160701,46.75,47.360001,46.5,46.66,5462200,46.504547,0,1,46.6272735,-999,20160701,5.09,5.14,5,5.07,18255900,5.07,0,1,5.08,-999
20160630,46.73,47.299999,46.349998,47.009998,10773500,46.85338,0,1,46.79169,-999,20160630,5.13,5.19,4.95,5.14,26124800,5.14,0,1,5.135,-999
20160629,46.299999,47.009998,46.18,46.650002,7973300,46.494582,0,1,46.3972905,-999,20160629,5.31,5.4,5.1,5.13,33118300,5.13,0,1,5.22,-999
20160628,46.099998,46.150002,45.27,45.900002,9548000,45.747081,0,1,45.9235395,-999,20160628,4.95,5.19,4.91,5.12,29221400,5.12,0,1,5.035,-999
20160627,45.349998,45.700001,44.57,45.240002,11227200,45.08928,0,1,45.219639,-999,20160627,4.88,5.05,4.65,4.72,31025300,4.72,0,1,4.8,-999
20160624,46.5,47.360001,45.299999,45.73,25442100,45.577645,0,1,46.0388225,-999,20160624,4.82,5.07,4.76,4.88,36735200,4.88,0,1,4.85,-999
20160623,47.68,48.540001,47.650002,48.490002,7447000,48.328452,0,1,48.004226,-999,20160623,5.17,5.26,5.05,5.21,29159200,5.21,0,1,5.19,-999
20160622,47.369999,47.68,47.150002,47.23,5065500,47.072648,0,1,47.2213235,-999,20160622,5.46,5.52,4.96,5.02,47943300,5.02,0,1,5.24,-999
20160621,47.759998,47.889999,47.200001,47.27,5312700,47.112516,0,1,47.436257,-999,20160621,5.1,5.5,5.09,5.45,35864600,5.45,0,1,5.275,-999
20160620,47.470001,48.169998,47.439999,47.560001,7344200,47.40155,0,1,47.4357755,-999,20160620,5.39,5.45,5.09,5.1,43541300,5.1,0,1,5.245,-999
20160617,47.610001,47.619999,46.529999,46.720001,11775000,46.564349,0,1,47.087175,-999,20160617,4.75,5.27,4.68,5.26,64894100,5.26,0,1,5.005,-999
20160616,47.009998,47.630001,46.549999,47.549999,6161400,47.391582,0,1,47.20079,-999,20160616,4.5,4.75,4.46,4.75,34182700,4.75,0,1,4.625,-999
20160615,47.27,47.77,46.75,47.360001,7525900,47.202216,0,1,47.236108,-999,20160615,4.44,4.48,4.3,4.42,11575300,4.42,0,1,4.43,-999
20160614,46.68,47.099998,46.16,46.880001,7458600,46.723816,0,1,46.701908,-999,20160614,4.4,4.51,4.33,4.39,16757400,4.39,0,1,4.395,-999
20160613,46.25,47.700001,46.25,46.790001,11889700,46.634115,0,1,46.4420575,-999,20160613,4.32,4.48,4.32,4.4,13500700,4.4,0,1,4.36,-999
20160610,46.82,47.240002,46.139999,46.200001,10000600,46.046081,0,1,46.4330405,-999,20160610,4.4,4.47,4.3,4.32,15106500,4.32,0,1,4.36,-999
20160609,46.02,47.450001,45.919998,47.380001,11804200,47.22215,0,1,46.621075,-999,20160609,4.41,4.54,4.32,4.52,16219100,4.52,0,1,4.465,-999
20160608,46.34,46.509998,45.799999,46.18,5865400,46.026147,0,1,46.1830735,-999,20160608,4.54,4.56,4.38,4.46,16074300,4.46,0,1,4.5,-999
20160607,46.52,46.779999,46.310001,46.330002,4835000,46.175649,0,1,46.3478245,-999,20160607,4.56,4.67,4.47,4.51,20676200,4.51,0,1,4.535,-999
20160606,46.599998,46.959999,46,46.240002,8062800,46.085948,0,1,46.342973,-999,20160606,4.2,4.51,4.17,4.47,21329600,4.47,0,1,4.335,-999
20160603,46.68,46.740002,45.66,46.48,11526900,46.325147,0,1,46.5025735,-999,20160603,4.16,4.2,4.08,4.16,17519900,4.16,0,1,4.16,-999
20160602,47.060001,47.540001,46.599998,47.139999,8230200,46.982948,0,1,47.0214745,-999,20160602,4.37,4.4,4.07,4.24,35335000,4.24,0,1,4.305,-999
20160601,46.5,47.259998,46.360001,46.810001,9678300,46.654049,0,1,46.5770245,-999,20160601,4.6,4.64,4.38,4.43,29696400,4.43,0,1,4.515,-999
20160531,46.099998,46.82,46.07,46.720001,10313100,46.564349,0,1,46.3321735,-999,20160531,4.67,4.71,4.5,4.57,25379200,4.57,0,1,4.62,-999
20160527,45.700001,45.970001,45.549999,45.900002,6931800,45.747081,0,1,45.723541,-999,20160527,4.39,4.63,4.37,4.6,34380600,4.6,0,1,4.495,-999
20160526,45.25,45.98,45.119999,45.650002,7749100,45.497914,0,1,45.373957,-999,20160526,4.19,4.38,4.17,4.35,22625700,4.35,0,1,4.27,-999
20160525,45.5,45.689999,44.810001,45.169998,11451900,45.01951,0,1,45.259755,-999,20160525,4.24,4.35,4.15,4.18,24703600,4.18,0,1,4.21,-999
20160524,44.419998,45.5,44.299999,45.360001,10394700,45.208879,0,1,44.8144385,-999,20160524,4.09,4.21,3.92,4.2,34283900,4.2,0,1,4.145,-999
20160523,44.52,44.689999,44.130001,44.400002,10340900,44.137461,0,1,44.3287305,-999,20160523,3.9,4.2,3.88,4.04,35467000,4.04,0,1,3.97,-999
20160520,43.82,44.509998,43.75,44.330002,9777100,44.067875,0,1,43.9439375,-999,20160520,3.83,3.9,3.81,3.87,13799600,3.87,0,1,3.85,-999
20160519,43.189999,43.860001,43.130001,43.549999,9972000,43.292485,0,1,43.241242,-999,20160519,3.83,3.85,3.69,3.77,17696900,3.77,0,1,3.8,-999
20160518,42,43.849998,42,43.360001,13526800,43.10361,0,1,42.551805,-999,20160518,3.79,3.97,3.77,3.84,19487500,3.84,0,1,3.815,-999
20160517,42,42.580002,41.459999,42.279999,15709800,42.029994,0,1,42.014997,-999,20160517,3.8,3.98,3.69,3.79,20066100,3.79,0,1,3.795,-999
20160516,40.669998,42.799999,40.540001,42.189999,24325800,41.940526,0,1,41.305262,-999,20160516,3.67,3.85,3.65,3.79,14703800,3.79,0,1,3.73,-999
20160513,39.189999,41,39,40.98,52756400,40.737682,0,1,39.9638405,-999,20160513,3.56,3.73,3.55,3.67,16470100,3.67,0,1,3.615,-999
20160512,36.32,36.48,34.93,35.57,16763500,35.359671,0,1,35.8398355,-999,20160512,3.65,3.68,3.55,3.59,9255800,3.59,0,1,3.62,-999
20160511,36.07,36.459999,35.869999,36.060001,8204400,35.846776,0,1,35.958388,-999,20160511,3.61,3.68,3.6,3.65,7540300,3.65,0,1,3.63,-999
20160510,35.5,36.02,35.16,35.959999,6741900,35.747365,0,1,35.6236825,-999,20160510,3.66,3.68,3.56,3.64,9415100,3.64,0,1,3.65,-999
20160509,35.419998,35.57,34.990002,35.279999,8333400,35.071385,0,1,35.2456915,-999,20160509,3.66,3.68,3.45,3.65,16299400,3.65,0,1,3.655,-999
20160506,34.91,35.419998,34.84,35.330002,4576100,35.121093,0,1,35.0155465,-999,20160506,3.65,3.75,3.64,3.68,11800100,3.68,0,1,3.665,-999
20160505,35.049999,35.380001,34.709999,34.970001,6172100,34.763221,0,1,34.90661,-999,20160505,3.64,3.8,3.61,3.66,21529600,3.66,0,1,3.65,-999
20160504,35.139999,35.169998,34.400002,34.759998,13144100,34.55446,0,1,34.8472295,-999,20160504,3.54,3.67,3.54,3.6,8688500,3.6,0,1,3.57,-999
20160503,35.59,35.740002,35.259998,35.57,5600600,35.359671,0,1,35.4748355,-999,20160503,3.7,3.71,3.58,3.6,13784800,3.6,0,1,3.65,-999
20160502,35.869999,36.220001,35.700001,36,6401900,35.787129,0,1,35.828564,-999,20160502,3.58,3.75,3.57,3.74,16972800,3.74,0,1,3.66,-999
20160429,36.049999,36.130001,35.139999,35.529999,8047600,35.319907,0,1,35.684953,-999,20160429,3.69,3.69,3.45,3.55,17717800,3.55,0,1,3.62,-999
20160428,37.080002,37.299999,36.110001,36.200001,9530600,35.985947,0,1,36.5329745,-999,20160428,3.69,3.8,3.6,3.61,20230000,3.61,0,1,3.65,-999
20160427,36.389999,37.330002,36.32,37.310001,8809900,37.089384,0,1,36.7396915,-999,20160427,3.55,3.75,3.53,3.73,24186800,3.73,0,1,3.64,-999
20160426,36.669998,37.09,36.32,36.48,5363400,36.26429,0,1,36.467144,-999,20160426,3.45,3.75,3.44,3.66,36336900,3.66,0,1,3.555,-999
20160425,36.279999,36.650002,36.18,36.450001,4799300,36.234469,0,1,36.257234,-999,20160425,3.81,3.82,3.31,3.45,80607900,3.45,0,1,3.63,-999
20160422,36.529999,36.779999,36.150002,36.27,5588500,36.055533,0,1,36.292766,-999,20160422,3.19,3.99,3.18,3.99,143265300,3.99,0,1,3.59,-999
20160421,36.459999,36.630001,36.25,36.41,4457000,36.194705,0,1,36.327352,-999,20160421,2.65,2.7,2.6,2.62,13957200,2.62,0,1,2.635,-999
20160420,36.25,36.669998,36.209999,36.450001,5004300,36.234469,0,1,36.2422345,-999,20160420,2.62,2.72,2.61,2.7,7926100,2.7,0,1,2.66,-999
20160419,37.110001,37.18,36.080002,36.310001,7728800,36.095297,0,1,36.602649,-999,20160419,2.78,2.78,2.61,2.62,11719900,2.62,0,1,2.7,-999
20160418,37.060001,37.060001,36.610001,36.970001,7680600,36.751395,0,1,36.905698,-999,20160418,2.67,2.8,2.65,2.76,8923100,2.76,0,1,2.715,-999
20160415,36.830002,37.459999,36.709999,37.130001,10924300,36.910448,0,1,36.870225,-999,20160415,2.72,2.75,2.68,2.7,7487500,2.7,0,1,2.71,-999
20160414,36.639999,37,36.490002,36.84,10414100,36.622162,0,1,36.6310805,-999,20160414,2.77,2.79,2.7,2.72,8985300,2.72,0,1,2.745,-999
20160413,36,36.75,36,36.740002,8767900,36.522755,0,1,36.2613775,-999,20160413,2.78,2.82,2.73,2.8,8048000,2.8,0,1,2.79,-999
20160412,36,36.049999,35.139999,35.84,7319100,35.628075,0,1,35.8140375,-999,20160412,2.79,2.85,2.76,2.81,16131900,2.81,0,1,2.8,-999
